,Base Website,Scraped Page,Page Type,Emails,Phone Numbers
0,https://www.inep.cz/,https://www.inep.cz/,main,"reditelstvi@fnmotol.cz, info@inep.czPraha, detskaneurologie@inep.czbottom, neuro@lf1.cuni.cz, lekarna@inep.czPraha, info@inep.cz, lekarna@inep.cz, pediatrie@inep.cz, riaps@csspraha.cz, cki@plbohnice.cz, detskaneurologie@inep.cz, prijmeni@inep.cz, kddl@vfn.cz, pediatrie@inep.czPraha","720 146 488, 222 201 020, +420 222 582 151, 228 881 681, 220048096, +420 224 965 501, 062010000, 257 220 233, +420 284 016 110, +420 222 586 768, 267 295 364, 000220048, +420 224 433 652, +420 224 967 777"
1,https://www.inep.cz/,https://www.inep.cz/kontakt,contact,"cki@plbohnice.cz, reditelstvi@fnmotol.cz, info@inep.czPraha, detskaneurologie@inep.cz, detskaneurologie@inep.czbottom, neuro@lf1.cuni.cz, lekarna@inep.czPraha, kddl@vfn.cz, info@inep.cz, lekarna@inep.cz, prijmeni@inep.cz, pediatrie@inep.cz, pediatrie@inep.czPraha, riaps@csspraha.cz","720 146 488, 222 201 020, 257 220 233, +420 284 016 110, +420 222 582 151, +420 222 586 768, 220048096, 267 295 364, 000220048, 228 881 681, +420 224 433 652, +420 224 965 501, +420 224 967 777, 062010000"
2,https://www.koparkovamonika.cz/,https://www.koparkovamonika.cz/,main,mkoparkova@gmail.com,"608245698, +420 354 433 674, +420 608 245 698"
3,https://www.hipojupiter.cz,https://www.hipojupiter.cz,main,"info@hipojupiter.czJak, info@hipojupiter.czdetskyklub, klubInstagraminfo@hipojupiter.czWeb","260098099, +420 776614704"
4,https://www.hipojupiter.cz,https://www.hipojupiter.cz/o-nas/,contact,"info@hipojupiter.czJak, klubInstagraminfo@hipojupiter.czWeb",260098099
5,https://www.hipojupiter.cz,https://www.hipojupiter.cz/kontakty/,contact,"info@hipojupiter.czJak, klubInstagraminfo@hipojupiter.czWeb, info@hipojupiter.czdetskyklub","260098099, +420 776614704"
6,https://www.diakoniezapad.cz,https://www.diakoniezapad.cz,main,"radost@diakoniezapad.czDal, petr.broz@diakoniezapad.cz, editelemarketa.pinterova@diakoniezapad.cz, muj@diakoniezapad.czDal, jdemedal@diakoniezapad.czDal, prevence@diakoniezapad.czDal, zapad@diakoniezapad.cz, michaela.janova@diakoniezapad.czDal, archa@diakoniezapad.czDal, adite@diakoniezapad.czDal, stacionare@diakoniezapad.czDal, plus@diakoniezapad.czDal, komunikacebarbora.uldrychova@diakoniezapad.cz, editelkalucie.petrickova@diakoniezapad.cz, kluby@diakoniezapad.czDal, dobrovolnik@diakoniezapad.czDal, plzensky@pecujdoma.czDal, faktury@diakoniezapad.cz, pirko@diakoniezapad.czDal, 491zapad@diakoniezapad.cz, poradna.plzen@diakoniezapad.czDal, lenka.houskova@diakoniezapad.cz","+420 730 802 697, +420 733 640 388, +420 773 683 197, 909909030, +420 731 517 377, 100433441, +420 730 544 244, +420 704 607 825, +420 735 795 556, +420 775 720 490, +420 775 683 187, +420 733 414 421, +420 773 683 190, +420 605 232 117, +420 605 573 209, +420 734 288 957, +420 736 527 156, +420 775 720 488, +420 604 522 565, +420 731 125 429, +420 739 946 604, +420 775 720 491"
7,https://www.diakoniezapad.cz,https://zapad.diakonie.cz/o-nas/,contact,"radost@diakoniezapad.czDal, muj@diakoniezapad.czDal, plus@diakoniezapad.czDal, jdemedal@diakoniezapad.czDal, kluby@diakoniezapad.czDal, prevence@diakoniezapad.czDal, dobrovolnik@diakoniezapad.czDal, plzensky@pecujdoma.czDal, michaela.janova@diakoniezapad.czDal, archa@diakoniezapad.czDal, pirko@diakoniezapad.czDal, adite@diakoniezapad.czDal, stacionare@diakoniezapad.czDal, 491zapad@diakoniezapad.cz, poradna.plzen@diakoniezapad.czDal","100433441, +420 730 544 244, +420 730 802 697, +420 704 607 825, +420 735 795 556, +420 733 640 388, +420 736 527 156, +420 775 720 491, +420 604 522 565, +420 731 125 429, +420 733 414 421, +420 739 946 604, +420 605 232 117, +420 773 683 190, +420 731 517 377, +420 734 288 957"
8,https://www.diakoniezapad.cz,https://zapad.diakonie.cz/kontakt/,contact,"petr.broz@diakoniezapad.cz, editelemarketa.pinterova@diakoniezapad.cz, jdemedal@diakoniezapad.czDal, prevence@diakoniezapad.czDal, komunikacebarbora.uldrychova@diakoniezapad.cz, kluby@diakoniezapad.czDal, pirko@diakoniezapad.czDal, 491zapad@diakoniezapad.cz, poradna.plzen@diakoniezapad.czDal, lenka.houskova@diakoniezapad.cz, radost@diakoniezapad.czDal, muj@diakoniezapad.czDal, zapad@diakoniezapad.cz, michaela.janova@diakoniezapad.czDal, archa@diakoniezapad.czDal, adite@diakoniezapad.czDal, stacionare@diakoniezapad.czDal, plus@diakoniezapad.czDal, editelkalucie.petrickova@diakoniezapad.cz, dobrovolnik@diakoniezapad.czDal, plzensky@pecujdoma.czDal, faktury@diakoniezapad.cz","+420 730 802 697, +420 733 640 388, +420 773 683 197, 909909030, +420 731 517 377, 100433441, +420 730 544 244, +420 704 607 825, +420 735 795 556, +420 775 720 490, +420 775 683 187, +420 733 414 421, +420 605 232 117, +420 773 683 190, +420 605 573 209, +420 734 288 957, +420 736 527 156, +420 775 720 488, +420 604 522 565, +420 731 125 429, +420 739 946 604, +420 775 720 491"
9,https://www.cssdomazlice.cz,https://www.cssdomazlice.cz,main,"personalni@cssdomazlice.cz, reditel@cssdomazlice.cz, podatelna@cssdomazlice.cz, poradna@cssdomazlice.cz, vedoucidomazlice@cssdomazlice.cz, smirklova@cssdomazlice.cz, vedoucicernovice@cssdomazlice.cz","778 469 299, +420 725 522 831, 725 522 831, +420 379 412 711, +420 379 412 740, 420 412 740, +420 379 412 712, 379 412 716, +420 773 745 771, +420 379 412 741, +420 379 431 118, +420 379 412 710, +420 379 412 711, +420 379 412 720"
10,https://www.cssdomazlice.cz,https://www.cssdomazlice.cz/kontakt/kontakt/,contact,"reditel@cssdomazlice.cz, podatelna@cssdomazlice.cz, poradna@cssdomazlice.cz, vedoucidomazlice@cssdomazlice.cz, vedoucicernovice@cssdomazlice.cz","+420 379 412 712, +420 379 412 711, +420 379 431 118, 778 469 299, +420 379 412 710, +420 725 522 831, +420 379 412 711, +420 379 412 720, +420 379 412 740"
11,https://www.cssdomazlice.cz,https://www.cssdomazlice.cz/rodinna-poradna-domazlice/o-nas/,contact,"podatelna@cssdomazlice.cz, poradna@cssdomazlice.cz, vedoucidomazlice@cssdomazlice.cz, smirklova@cssdomazlice.cz, vedoucicernovice@cssdomazlice.cz","420 412 740, +420 773 745 771, +420 379 412 741, +420 379 431 118, +420 725 522 831, +420 379 412 711, +420 379 412 720, +420 379 412 740"
12,https://www.cssdomazlice.cz,https://www.cssdomazlice.cz/domov-pro-seniory-domazlice/o-nas/,contact,"vedoucicernovice@cssdomazlice.cz, poradna@cssdomazlice.cz, vedoucidomazlice@cssdomazlice.cz, podatelna@cssdomazlice.cz","+420 379 412 711, +420 725 522 831, +420 379 431 118, +420 379 412 720, +420 379 412 740"
13,https://www.cssdomazlice.cz,https://www.cssdomazlice.cz/domov-cernovice/o-nas/,contact,"podatelna@cssdomazlice.cz, poradna@cssdomazlice.cz, vedoucidomazlice@cssdomazlice.cz, personalni@cssdomazlice.cz, vedoucicernovice@cssdomazlice.cz","379 412 716, +420 725 522 831, +420 379 412 711, 725 522 831, +420 379 431 118, +420 379 412 720, +420 379 412 740"
14,https://www.mestovsetin.cz,https://www.mestovsetin.cz,main,"e-podatelna@mestovsetin.cz, e-podatelna@mestovsetin.czSoci","420 571 491, 1484755 01, 1080755 01, 571 491 111"
15,https://www.mestovsetin.cz,https://www.mestovsetin.cz/kontakty/ms-71877/p1=71877,contact,e-podatelna@mestovsetin.czSoci,"1080755 01, 571 491 111"
16,https://www.mestovsetin.cz,https://www.mestovsetin.cz/vismo/o_utvar.asp?id_org=18676&id_u=10,contact,"e-podatelna@mestovsetin.cz, e-podatelna@mestovsetin.czSoci","420 571 491, 1484755 01, 1080755 01, 571 491 111"
17,https://www.animaviva.cz,https://www.animaviva.cz,main,"manazer.opava@animaviva.cz, koordinator.zamozp@animaviva.cz, poradna@animaviva.cz, asistentka@animaviva.cz, centrum.opava@animaviva.cz","739 404 488, 739 404 544, 553 821 301, 731 177 812, 737 500 030, 420776738"
18,https://www.animaviva.cz,https://www.animaviva.cz/kontakt,contact,"manazer.opava@animaviva.cz, asistentka@animaviva.cz, poradna@animaviva.cz, koordinator.zamozp@animaviva.cz, centrum.opava@animaviva.cz","739 404 488, 737 500 030, 420776738, 739 404 544, 553 821 301, 731 177 812"
19,https://www.kappa-praha.cz/,https://www.kappa-praha.cz/,main,"hradcanska@kappa-praha.cz, praha7@kappa-praha.cz","+420 730 513 343, +420 604 235 351"
