,Base Website,Scraped Page,Page Type,Emails,Phone Numbers
0,http://www.strada.cz/,http://www.strada.cz/,main,,
1,http://www.psycholog-tejklova.cz/,http://www.psycholog-tejklova.cz/,main,,"596 430 768, 733 299 321"
2,http://www.psycholog-tejklova.cz/,http://www.psycholog-tejklova.cz/kontakt.html,contact,,"596 430 768, 733 299 321"
3,https://clinterap.cz,https://clinterap.cz,main,"info@clinterap.cz, rosa@clinterap.czOtev, melnik@clinterap.czOtev, kladno@clinterap.czOtev, management@clinterap.cz, pocernicka@clinterap.czOtev, pribram@clinterap.czOtev, benesov@clinterap.czOtev","+420 601 304 486, +420 601 304 483, +420 601 304 482, +420 601 304 489, +420 601 304 485, +420 222 510 607, +420 702 129 883, +420 601 304 489"
4,https://clinterap.cz,https://clinterap.cz/kontakt/,contact,"info@clinterap.cz, rosa@clinterap.czOtev, melnik@clinterap.czOtev, kladno@clinterap.czOtev, management@clinterap.cz, pocernicka@clinterap.czOtev, pribram@clinterap.czOtev, benesov@clinterap.czOtev","+420 601 304 486, +420 601 304 483, +420 601 304 482, +420 601 304 489, +420 601 304 485, +420 222 510 607, +420 702 129 883, +420 601 304 489"
5,https://clinterap.cz,https://clinterap.cz/o-nas/,contact,info@clinterap.cz,
6,http://www.profem.cz/,http://www.profem.cz/,main,"jitka.polakova@profem.cz, eva.michalkova@profem.cz, marketa.pekarkova@profem.cz, barbora.holasova@profem.cz, barbora.venclova@profem.cz, info@profem.cz, petra.presserova@profem.cz, pavlina.madlova@profem.cz, andrea.neubert@profem.cz, nada.gubova@profem.cz, irena.filipova@profem.cz, poradna@profem.cz, iva.peterkova@profem.cz, administrativa@profem.cz","608 222 277, 774 433 002, 260198160, 608 222 277, 777 012 555, 210124603"
7,http://www.profem.cz/,http://www.profem.cz/cs/kontakty,contact,"jitka.polakova@profem.cz, eva.michalkova@profem.cz, marketa.pekarkova@profem.cz, barbora.holasova@profem.cz, barbora.venclova@profem.cz, info@profem.cz, petra.presserova@profem.cz, pavlina.madlova@profem.cz, andrea.neubert@profem.cz, nada.gubova@profem.cz, poradna@profem.cz, iva.peterkova@profem.cz, administrativa@profem.cz","608 222 277, 774 433 002, 260198160, 608 222 277, 777 012 555, 210124603"
8,http://www.profem.cz/,http://www.profem.cz/cs/novinky/a/otevirame-novou-dlouhodobou-terapeutickou-skupinu-pro-obeti-sexualniho-nasili,contact,irena.filipova@profem.cz,"608 222 277, 608 222 277"
9,https://nemji.cz,https://nemji.cz,main,"sekretariat@nemji.cz, info@nemji.cz, ombudsman@nemji.cz, efaktura@nemji.cz, podatelna@nemji.cz, cmuntovas@nemji.cz","+420 567 157 111, +420 567 157 668, +420 567 157 211, +420 567 157 443, +420 567 157 555"
10,https://nemji.cz,https://nemji.cz/kontakty/,contact,"sekretariat@nemji.cz, info@nemji.cz, ombudsman@nemji.cz, efaktura@nemji.cz, podatelna@nemji.cz","+420 567 157 668, +420 567 157 211, +420 567 157 111"
11,https://nemji.cz,https://www.nemji.cz/kontaktni-centrum/,contact,"cmuntovas@nemji.cz, info@nemji.cz","+420 567 157 111, +420 567 157 443, +420 567 157 555"
12,https://nemji.cz,https://www.nemji.cz/kontakty/,contact,"sekretariat@nemji.cz, info@nemji.cz, ombudsman@nemji.cz, efaktura@nemji.cz, podatelna@nemji.cz","+420 567 157 668, +420 567 157 211, +420 567 157 111"
13,https://nemji.cz,https://nemji.cz/kontaktni-centrum/,contact,"cmuntovas@nemji.cz, info@nemji.cz","+420 567 157 111, +420 567 157 443, +420 567 157 555"
14,https://ppporadna.cz/,https://ppporadna.cz/,main,"vds@ppporadna.cz, ppp@ppporadna.cz","+420 602 590 000, +420 770 178 965"
15,http://www.zonaklub.cz,http://www.zonaklub.cz,main,"pracovnicizony@seznam.cz, provas@email.cz","252342009, 773980991, 773 980 991, 773 980 992, 773980992"
16,http://www.zonaklub.cz,http://www.zonaklub.cz#zona-to-jsme-my,contact,"pracovnicizony@seznam.cz, provas@email.cz","252342009, 773980991, 773 980 991, 773 980 992, 773980992"
17,http://www.zonaklub.cz,http://www.zonaklub.cz#kontakt,contact,"pracovnicizony@seznam.cz, provas@email.cz","252342009, 773980991, 773 980 991, 773 980 992, 773980992"
18,http://www.proximasociale.cz,http://www.proximasociale.cz,main,"nozarova@proximasociale.cz, prevence-ms@proximasociale.cz, prevence@proximasociale.cz, podporarodiny@proximasociale.cz, poradna@proximasociale.cz, leksova@proximasociale.cz, office@proximasociale.cz, probace@proximasociale.cz","+420 777 471 805, +420 775 610 001, +420 775 561 040, +420 777 471 828, +420 241 770 232, +420 773 945 577, +420 777 471 803, +420 777 471 807, +420 775 413 551, +420 773 740 239, +420 775 637 050, +420 777 773 957, +420 775 610 453, +420 777 471 805, +420 775 413 548, +420 277 007 280, +420 777 471 800, +420 777 778 117, +420 777 249 002, +420 775 608 508, +420 777 471 800, 584204024, +420 774 610 017, +420 775 637 050"
